impd,date,year,gear,spp,tl,aged,age
GDCL,10/3/2017,2017,EF,Bluegill,148,0,
GDCL,10/3/2017,2017,EF,Bluegill,149,0,
GDCL,10/3/2017,2017,EF,Bluegill,149,0,
GDCL,10/3/2017,2017,EF,Bluegill,149,0,
GDCL,10/3/2017,2017,EF,Bluegill,149,0,
GDCL,10/3/2017,2017,EF,Bluegill,149,0,
GDCL,10/3/2017,2017,EF,Bluegill,150,0,
GDCL,10/3/2017,2017,EF,Bluegill,150,0,
GDCL,10/3/2017,2017,EF,Bluegill,150,0,
GDCL,10/3/2017,2017,EF,Bluegill,150,0,
GDCL,10/3/2017,2017,EF,Bluegill,151,0,
GDCL,10/3/2017,2017,EF,Bluegill,151,0,
GDCL,10/3/2017,2017,EF,Bluegill,152,0,
GDCL,10/3/2017,2017,EF,Bluegill,152,0,
GDCL,10/3/2017,2017,EF,Bluegill,152,0,
GDCL,10/3/2017,2017,EF,Bluegill,152,0,
GDCL,10/3/2017,2017,EF,Bluegill,153,0,
GDCL,10/3/2017,2017,EF,Bluegill,153,0,
GDCL,10/3/2017,2017,EF,Bluegill,153,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,154,0,
GDCL,10/3/2017,2017,EF,Bluegill,155,0,
GDCL,10/3/2017,2017,EF,Bluegill,155,0,
GDCL,10/3/2017,2017,EF,Bluegill,156,0,
GDCL,10/3/2017,2017,EF,Bluegill,156,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,157,0,
GDCL,10/3/2017,2017,EF,Bluegill,158,0,
GDCL,10/3/2017,2017,EF,Bluegill,158,0,
GDCL,10/3/2017,2017,EF,Bluegill,158,0,
GDCL,10/3/2017,2017,EF,Bluegill,158,0,
GDCL,10/3/2017,2017,EF,Bluegill,158,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,159,0,
GDCL,10/3/2017,2017,EF,Bluegill,160,0,
